id,team,standing,percentage,season,diff_standing,diff_percentage,min_per,avg_per,DPOY,MIP,SMOY,COY
955,"Boston Celtics",1,0.695,1988,0,-0.025,7,13.72,0,0,0,0
883,"Boston Celtics",2,0.683,1991,2,0.049,-9.3,12.87,0,0,0,0
830,"Boston Celtics",4,0.585,1993,-2,-0.037,9.2,13.83,0,0,0,0
809,"Boston Celtics",10,0.39,1994,-6,-0.195,5.8,13.02,0,0,0,0
780,"Boston Celtics",8,0.427,1995,2,0.037,0,10.42,0,0,0,0
756,"Boston Celtics",11,0.402,1996,-3,-0.025,6.5,11.86,0,0,0,0
641,"Boston Celtics",10,0.427,2000,2,0.047,3.2,11.22,0,0,0,0
576,"Boston Celtics",3,0.598,2002,6,0.159,-3.1,9.35,0,0,0,0
470,"Boston Celtics",11,0.402,2006,-8,-0.147,4.5,12.39,0,0,0,0
445,"Boston Celtics",15,0.293,2007,-4,-0.109,5.1,13.43,0,0,0,0
17,"Brooklyn Nets",2,0.667,2021,5,0.181,-11.3,12.84,0,0,0,0
52,"Brooklyn Nets",7,0.486,2020,-1,-0.026,-1,13.43,0,0,0,0
81,"Brooklyn Nets",6,0.512,2019,6,0.171,4.3,14.81,0,0,0,0
117,"Brooklyn Nets",12,0.341,2018,3,0.097,8.5,18.33,0,0,0,0
150,"Brooklyn Nets",15,0.244,2017,-1,-0.012,-4.9,12.09,0,0,0,0
179,"Brooklyn Nets",14,0.256,2016,-6,-0.207,9.3,14.79,0,0,0,0
203,"Brooklyn Nets",8,0.463,2015,-2,-0.074,3.6,13.82,0,0,0,0
229,"Brooklyn Nets",6,0.537,2014,-2,-0.061,6.2,15.01,0,0,0,0
25,"Charlotte Hornets",10,0.458,2021,0,0.104,-10.7,13.27,0,0,0,0
55,"Charlotte Hornets",10,0.354,2020,-1,-0.122,5.5,13.52,0,0,0,0
84,"Charlotte Hornets",9,0.476,2019,1,0.037,-2.9,11.58,0,0,0,0
115,"Charlotte Hornets",10,0.439,2018,1,0,-6.6,12.29,0,0,0,0
146,"Charlotte Hornets",11,0.439,2017,-5,-0.146,5.8,13.92,0,0,0,0
171,"Charlotte Hornets",6,0.585,2016,5,0.183,-2.2,12.42,0,0,0,0
577,"Charlotte Hornets",4,0.537,2002,2,-0.024,1.5,12.07,0,0,0,0
723,"Charlotte Hornets",6,0.659,1997,3,0.159,5.1,13.03,0,0,0,0
754,"Charlotte Hornets",9,0.5,1996,-5,-0.11,1.5,12.07,0,0,0,0
776,"Charlotte Hornets",4,0.61,1995,5,0.11,5.1,13.03,0,0,0,0
808,"Charlotte Hornets",9,0.5,1994,-4,-0.037,1.5,12.07,0,0,1,0
864,"Charlotte Hornets",11,0.378,1992,1,0.061,1.5,12.07,0,0,0,0
893,"Charlotte Hornets",12,0.317,1991,2,0.085,5.1,13.03,0,0,0,0
608,"Charlotte Hornets",6,0.561,2001,-1,-0.037,5.1,13.03,0,0,0,0
636,"Charlotte Hornets",5,0.598,2000,4,0.078,1.5,12.07,0,0,0,0
669,"Charlotte Hornets",9,0.52,1999,-5,-0.102,5.1,13.03,0,0,0,0
693,"Charlotte Hornets",4,0.622,1998,2,-0.037,1.5,12.07,0,0,0,0
831,"Charlotte Hornets",5,0.537,1993,6,0.159,5.1,13.03,0,0,0,0
907,"Charlotte Hornets",14,0.232,1990,-2,-0.012,1.5,12.07,0,0,0,0
493,"Chicago Bulls",4,0.573,2005,10,0.293,-3,10.56,0,0,1,0
531,"Chicago Bulls",14,0.28,2004,-2,-0.086,0.3,11.5,0,0,0,0
588,"Chicago Bulls",15,0.256,2002,0,0.073,6,12.57,0,0,0,0
617,"Chicago Bulls",15,0.183,2001,0,-0.024,6.6,13.23,0,0,0,0
675,"Chicago Bulls",15,0.26,1999,-14,-0.496,3.6,10.62,0,0,0,0
690,"Chicago Bulls",1,0.756,1998,0,-0.085,5.1,10.57,0,0,0,0
746,"Chicago Bulls",1,0.878,1996,4,0.305,6.5,14.37,0,0,1,1
777,"Chicago Bulls",5,0.573,1995,-2,-0.098,1.8,12.97,0,0,0,0
828,"Chicago Bulls",2,0.695,1993,-1,-0.122,5.8,12.8,0,0,0,0
910,"Chicago Bulls",3,0.671,1990,3,0.098,10,15.22,0,0,0,0
937,"Chicago Bulls",6,0.573,1989,-3,-0.037,-9,11.46,0,0,0,0
957,"Chicago Bulls",3,0.61,1988,5,0.122,0,10.93,1,0,0,0
985,"Chicago Bulls",8,0.488,1987,0,0.122,0,11.44,0,0,0,0
1007,"Chicago Bulls",8,0.366,1986,-1,-0.097,-5.2,10.95,0,0,0,0
1099,"Chicago Bulls",9,0.415,1982,-4,-0.134,1.1,12.52,0,0,0,0
466,"Chicago Bulls",7,0.5,2006,-3,-0.073,8.2,12.76,0,0,0,0
557,"Chicago Bulls",12,0.366,2003,3,0.11,-5.5,11.31,0,0,0,0
646,"Chicago Bulls",15,0.207,2000,0,-0.053,3.3,10.51,0,0,0,0
718,"Chicago Bulls",1,0.841,1997,0,-0.037,5.5,14.23,0,0,0,0
802,"Chicago Bulls",3,0.671,1994,-1,-0.024,7.7,13.63,0,0,0,0
854,"Chicago Bulls",1,0.817,1992,0,0.073,1.9,12.85,0,0,0,0
882,"Chicago Bulls",1,0.744,1991,2,0.073,-13.6,10.79,0,0,0,0
